VILLE;DEPARTEMENT;CODE INSEE;NOM DU SITE;GROUPE DE DECHETS;SOUS-GROUPE DE DECHETS;DESCRIPTION PHYSIQUE;CATEGORIE;FAMILLE IN;VOLUME EQUIVALENT CONDITIONNE;MAJORATION;ACTIVITE ( Bq);PRINCIPAUX RADIONUCLEIDES
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube 6334 PENTA Laboratories;Tube 6334 PENTA Laboratories;Tube 6334 PENTA Laboratories;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube 6334 Microwave Associates;Tube 6334 Microwave Associates;Tube 6334 Microwave Associates;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube OA2 WA (fabricants: THOMSON, RCA, SYLVANIA, MAZDA, CSF);Tube OA2 WA (fabricants: THOMSON, RCA, SYLVANIA, MAZDA, CSF);Tube OA2 WA (fabricants: THOMSON, RCA, SYLVANIA, MAZDA, CSF);SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube OB2 WA (fabricants: THOMSON, RCA, SYLVANIA, MAZDA, CSF);Tube OB2 WA (fabricants: THOMSON, RCA, SYLVANIA, MAZDA, CSF);Tube OB2 WA (fabricants: THOMSON, RCA, SYLVANIA, MAZDA, CSF);SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube OB2 WA (fabricants:  THOMSON, RCA, SYLVANIA, MAZDA, CSF);Tube OB2 WA (fabricants:  THOMSON, RCA, SYLVANIA, MAZDA, CSF);Tube OB2 WA (fabricants:  THOMSON, RCA, SYLVANIA, MAZDA, CSF);SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube F 3027 A THOMSON;Tube F 3027 A THOMSON;Tube F 3027 A THOMSON;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube électronique avec radioélément H3. Installé dans radar.Peut se présenter dans un kit;Tube électronique avec radioélément H3. Installé dans radar.Peut se présenter dans un kit;Tube électronique avec radioélément H3. Installé dans radar.Peut se présenter dans un kit;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Tube TH 2611;Tube TH 2611;Tube TH 2611;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;63Ni
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Manchon sonde alpha radiamètre DOM DOR;Manchon sonde alpha radiamètre DOM DOR;Manchon sonde alpha radiamètre DOM DOR;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;232Th
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Poignée support sonde alpha radiamètre DOm DOR;Poignée support sonde alpha radiamètre DOm DOR;Poignée support sonde alpha radiamètre DOm DOR;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;232Th
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Etiquette support sonde alpha radiamètre DOM DOR;Etiquette support sonde alpha radiamètre DOM DOR;Etiquette support sonde alpha radiamètre DOM DOR;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;232Th
AMBERIEU-EN-BUGEY;1;1004;BA 278 AMBERIEU;Déchets induits contrôle radiamètre DOM ODR;Déchets induits contrôle radiamètre DOM ODR;Déchets induits contrôle radiamètre DOM ODR;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;232Th
AMIENS;80;80021;UFR DE PHARMACIE INSERM U1247 Groupe de Recherche sur l'alcool et les pharmacodépendances;;;SI (1 m3);FMA-VC;F3-7-01;0,079;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
AMIENS;80;80021;UFR DE PHARMACIE INSERM U1247 Groupe de Recherche sur l'alcool et les pharmacodépendances;;;LA (0,5 m3);FMA-VC;F3-7-01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
AMIENS;80;80021;UFR DE PHARMACIE INSERM U1247 Groupe de Recherche sur l'alcool et les pharmacodépendances;;;SL (1 m3);FMA-VC;F3-7-01;0,059;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
ANGERS;49;49007;LABORATOIRE DE CURIETHERAPIE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,001;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;125I
ANGERS;49;49007;PLATEFORME DE RADIOBIOLOGIE ET D'IMAGERIE EXPERIMENTALE (PRIMEX);;;SLV (0,24 m3);FMA-VC;F3-7-01;0,01416;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C
ANGERS;49;49007;PLATEFORME DE RADIOBIOLOGIE ET D'IMAGERIE EXPERIMENTALE (PRIMEX);;;LA (0,02 m3);FMA-VC;F3-7-01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C
ANGERS;49;49007;PLATEFORME DE RADIOBIOLOGIE ET D'IMAGERIE EXPERIMENTALE (PRIMEX);;;S01 (0,001 m3);SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
ANGERS;49;49007;PLATEFORME DE RADIOBIOLOGIE ET D'IMAGERIE EXPERIMENTALE (PRIMEX);;;SC (0,12 m3);TFA;TFA(SC-SNC);0,0768;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C
ANGERS;49;49007;Unité fonctionelle d'hormonologie;;;DGD - Déchets gérés en décroissance;VTC;DGD;4,26;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;125I
ANGERVILLIERS;91;91017;ANGERVILLIERS;;;Déchets divers (fer, laiton, acier inoxydable, caoutchouc), correspondant à une masse de 5 à 10 tonnes.;SANS CATEGORIE;DSH;40;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co
ANNECY;74;74010;ARGONAY - CONCEPTION, PRODUCTION DE COMMANDES DE VOL;;;SI (0,026 m3);FMA-VC;F3-7-01;0,002054;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
ANNECY;74;74010;ARGONAY - CONCEPTION, PRODUCTION DE COMMANDES DE VOL;;;SL (0,004 m3);FMA-VC;F3-7-01;0,000236;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
ANNECY;74;74010;ARGONAY - CONCEPTION, PRODUCTION DE COMMANDES DE VOL;;;SC (0,033 m3);TFA;TFA(SC-SNC);0,02112;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
ANNEVILLE-AMBOURVILLE;76;76020;ANNEVILLE AMBOURVILLE;;Solides et stables;Solides et stables;SANS CATEGORIE;DSH;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;;;Objets Divers Métal;FA-VL;DIV6-11;0,6;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;RADF2;FA-VL;DIV6-11;0,2;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Gravats;FA-VL;DIV6-11;0,2;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Scories;FA-VL;DIV6-11;0,2;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co, 137Cs, 226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Scories;FA-VL;DIV6-11;0,2;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co, 137Cs, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;;;Terre Contaminée;FA-VL;DIV6-11;0,1;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Métal;FA-VL;DIV6-11;0,12;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;137Cs, 226Ra, 238U, 239Pu
ARCUEIL;94;94003;DGA - ARCUEIL;;;Verre;FA-VL;DIV6-11;0,12;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Déchets technologiques;FA-VL;DIV6-11;0,12;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;137Cs, 226Ra, 235U, 238U, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;;;Plastique;FA-VL;DIV6-11;0,12;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;137Cs, 226Ra, 238U, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;;;Déchets technologiques;FA-VL;DIV6-11;0,12;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Déchets à Base d'Uranium;FA-VL;DIV9-11;0,1;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co, 137Cs, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;;;Poudre acétate Uranyle;FA-VL;DIV9-11;0,1;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;235U, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;;;Objets contaminés 3H;FMA-VC;DIV4-11;20;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
ARCUEIL;94;94003;DGA - ARCUEIL;;;Dechets technologiques;FMA-VC;DIV4-11;1;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
ARCUEIL;94;94003;DGA - ARCUEIL;;;Dechets assainissements 3H;FMA-VC;DIV4-11;7;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
ARCUEIL;94;94003;DGA - ARCUEIL;;;Futs a bonde;FMA-VC;F3-7-01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 60Co, 137Cs, 133Ba, 235U, 238U
ARCUEIL;94;94003;DGA - ARCUEIL;;;Objets ou lots d'objets divers;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;90Sr, 137Cs, 226Ra, 239Pu, 240Pu, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;;;Dispositifs de controle;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Sources d'instruction;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;137Cs
ARCUEIL;94;94003;DGA - ARCUEIL;;;Dispositifs divers;SANS CATEGORIE;S01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra, 239Pu, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;;;Cadran de Signalisation;SANS CATEGORIE;S02;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Futs vides metal Contaminés;TFA;TFA-11;2,307692308;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co
ARCUEIL;94;94003;DGA - ARCUEIL;;;Futs vides a bonde contaminés;TFA;TFA-11;0,09;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 137Cs
ARCUEIL;94;94003;DGA - ARCUEIL;;;Futs vides plastiques Contaminés;TFA;TFA-11;0,1;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
ARCUEIL;94;94003;DGA - ARCUEIL;;;Déchets technologiques;TFA;TFA-11;0,2;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;137Cs
ARCUEIL;94;94003;DGA - ARCUEIL;;;Dechets technologiques;TFA;TFA-11;0,4;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Métal / Verre / Sable / Bois;TFA;TFA-11;1,5;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;210Pb, 226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Métal / Verre / Plastique / Bois;TFA;TFA-11;1,5;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;137Cs, 210Pb, 226Ra
ARCUEIL;94;94003;DGA - ARCUEIL;;;Déchets technologiques;TFA;TFA-11;2;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co, 137Cs, 226Ra, 241Am
ARCUEIL;94;94003;DGA - ARCUEIL;;;Plastique;TFA;TFA-11;1;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;60Co, 137Cs, 226Ra, 238U, 241Am
ARGENCES;14;14020;SOLICENDRE;;;stockés sans stabilisation préalable;SANS CATEGORIE;ISD;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;40K, U, Th
ARGENCES;14;14020;SOLICENDRE;;;stockés aprés stabilisation;SANS CATEGORIE;ISD;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;40K, U, Th
ARRAS;62;62041;RADIOTHERAPIE ARRAS;;;TFA-07 (0,063 m3);TFA;TFA-07;0,063;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;
AUXERRE;89;89024;MEDECINE NUCLEAIRE AUXERRE;;;DGD - Déchets gérés en décroissance;VTC;DGD;0,3;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;18F,123I,131I,201Tl,99mTc
AVIGNON;84;84007;UMR EMMAH - EQUIPE HYDRO;;;SL (0,02 m3);FMA-VC;F3-7-01;0,00118;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
AVIGNON;84;84007;UMR EMMAH - EQUIPE HYDRO;;;SLV (0,003 m3);FMA-VC;F3-7-01;0,000177;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;14C
AVIGNON;84;84007;UMR EMMAH - EQUIPE HYDRO;;;SI (0,01 m3);FMA-VC;F3-7-01;0,00079;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C
AVIGNON;84;84007;UMR EMMAH - EQUIPE HYDRO;;;LA (0,004 m3);FMA-VC;F3-7-01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H
AVIGNON;84;84007;UR 407 PATHOLOGIE VEGETALE;;;LA (0,01 m3);FMA-VC;F3-7-01;0;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;U
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Filtres d'eau;Filtres d'eau;FMA-VC;F3-01b;0,0554;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Plastiques, caoutchouc;Plastiques, caoutchouc;FMA-VC;F3-01b;2,5384;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Fût métallique 200 Litres;Fût métallique 200 Litres;FMA-VC;F3-01b;7,205;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Filtre de ventilation;Filtre de ventilation;FMA-VC;F3-2-15;9,4218;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Métaux ferreux;Métaux ferreux;FMA-VC;F3-2-15;386,999;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Métaux non ferreux;Métaux non ferreux;FMA-VC;F3-2-15;0,0837;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Caisson métallique 10 m3;Caisson métallique 10 m3;FMA-VC;F3-2-15;8,5;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Bois seul, flexel;Bois seul, flexel;FMA-VC;F3-7-01;0,0133;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Boues séchées;Boues séchées;FMA-VC;F3-7-01;0,36176;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Plastiques, caoutchouc;Plastiques, caoutchouc;FMA-VC;F3-7-01;0,19152;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Fût plastique 200 Litres;Fût plastique 200 Litres;FMA-VC;F3-7-01;0,608;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
AVOINE;37;37011;CHINON A - EN DECONSTRUCTION;;Métaux ferreux;Métaux ferreux;FMA-VC;F3-7-02;13,78094;-;Conformément à la réglementation les activités radiologiques pour ce site ne sont déclarées que tous les cinq ans (à chaque Edition). ;3H, 14C, 55Fe, 60Co, 63Ni
